"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $3035.35/Eth","TxnFee(ETH)","TxnFee(USD)","Historical $Price/Eth","Status","ErrCode","Method"
"0x9b73e1be74474a40cee9f9ee125f18a7690a871bf64ded4b0cdfcda5f7706bb6","13360929","1633462238","2021-10-05 19:30:38","0x743fc8ba2a5e435b376bd2a7ee5c95b470c85c2d","0xa45ef87f51b84dbd0d5b003d288b16d3d044fe6f","","0","0.6","1821.21","0.7199466","2185.28991231","3516.09","","","Mint",""
"0xa41c525106c9bbdde50ecadfed3d083b6a7f0036313846a3823f1add6f371cd1","13362351","1633482251","2021-10-06 01:04:11","0x743fc8ba2a5e435b376bd2a7ee5c95b470c85c2d","0x7be8076f4ea4a4ad08075c2508e481d6c946d12b","","0","0","0","0.01199008","36.394089328","3576.08","","","Cancel Order_",""
"0x9543c72864061ed133de7bfbea8c43664279bc20928bd533bc4fbe54a661407e","13362351","1633482251","2021-10-06 01:04:11","0x743fc8ba2a5e435b376bd2a7ee5c95b470c85c2d","0x7be8076f4ea4a4ad08075c2508e481d6c946d12b","","0","0","0","0.011929096702028602","36.2089836745025","3576.08","","","Cancel Order_",""
"0x42d26f3515451a5295c958de377170e6f27467be9d99e8bc4cdf46cf01df4a57","13362790","1633487800","2021-10-06 02:36:40","0x743fc8ba2a5e435b376bd2a7ee5c95b470c85c2d","0x7be8076f4ea4a4ad08075c2508e481d6c946d12b","","0","0","0","0.008121494866109738","24.6515794418462","3576.08","","","Cancel Order_",""
"0x9cad688ec1bf7f106863e380d7055ae4ee2c74cb382f92641063a0d70c76e38f","13362885","1633488932","2021-10-06 02:55:32","0x743fc8ba2a5e435b376bd2a7ee5c95b470c85c2d","0x1d52798dcad378582ce1f5fc6607f1bb070dce40","","0","0.53","1608.7355","0.0021","6.374235","3576.08","","","Transfer",""
"0xf1d449be773254de53e87c59ee60ff87d1d7fd7f6090bb8410f64b25a9fe42e9","13367689","1633553586","2021-10-06 20:53:06","0x743fc8ba2a5e435b376bd2a7ee5c95b470c85c2d","0xc73790870f422350096ef0c19b06df1c0060d3ca","","0","0.49","1487.3215","0.00315","9.5613525","3576.08","","","Transfer",""
"0x33b1591021851281725c22619de0d3a1b0c9fbc9b1946bf1ada2085f3949f3fa","13367699","1633553694","2021-10-06 20:54:54","0x743fc8ba2a5e435b376bd2a7ee5c95b470c85c2d","0x9cc26d6c68af6c7b7316dea943f059441a54d68a","","0","0","0","0.00761553","23.1157989855","3576.08","","","Transfer From",""
"0x4af5e8211a42448f3deebb94ada65d956488a192291e9a8395d4673571759082","13367919","1633556893","2021-10-06 21:48:13","0x743fc8ba2a5e435b376bd2a7ee5c95b470c85c2d","0xe592427a0aece92de3edee1f18e0157c05861564","","0","0.33","1001.6655","0.02077426107502758","63.057153354085","3576.08","","","0x414bf389",""
"0xafda57b8481c2c60d48b1c6e076cdf1cc252fff487e43d6f083cf62390621863","13373033","1633626166","2021-10-07 17:02:46","0x743fc8ba2a5e435b376bd2a7ee5c95b470c85c2d","0x743fc8ba2a5e435b376bd2a7ee5c95b470c85c2d","","0","0","0","0.0084","25.49694","3588.20","","","Transfer",""
"0x244d27cc3d57a0094d90a66e1e05aa1c39b374335c799d4a335c23a8facc7b83","13373528","1633633358","2021-10-07 19:02:38","0x743fc8ba2a5e435b376bd2a7ee5c95b470c85c2d","0xad2e89a882ee5154a4a97128af74185a3b774759","","0","0.05","151.7675","0.01516873","46.0424046055","3588.20","","","Buy Tokens",""
"0x2627fb6ad0d88ebc7c31ff41428049dbe340ab7827dd315b78ccd9c221cc4185","13373605","1633634247","2021-10-07 19:17:27","0x743fc8ba2a5e435b376bd2a7ee5c95b470c85c2d","0xad2e89a882ee5154a4a97128af74185a3b774759","","0","0.25","758.8375","0.00830671","25.2137721985","3588.20","","","Buy Tokens",""
"0xe3b375d48f0bb37cdd59c24de39c9fa1226bded7ea29aaad9779a0a14796647b","13380480","1633726960","2021-10-08 21:02:40","0x743fc8ba2a5e435b376bd2a7ee5c95b470c85c2d","0xc051aab77edf25119b1a37740636ddbfb803c4e5","","0","0.48","1456.968","0.008309","25.22072315","3562.84","Error(0)","Reverted","Mint Seal",""
"0xb388b8c00a9ca6459f9d35a2d5ba27ee65e02a010895c02e6d772f3592f18fbc","13388651","1633838347","2021-10-10 03:59:07","0x743fc8ba2a5e435b376bd2a7ee5c95b470c85c2d","0x1d52798dcad378582ce1f5fc6607f1bb070dce40","","0","0.5","1517.675","0.00126","3.824541","3416.49","","","Transfer",""
"0xbd874845711e28668f76dff7b4f9624bb6b0e93d405d488cbeaec6aefb97e158","13388774","1633839943","2021-10-10 04:25:43","0x743fc8ba2a5e435b376bd2a7ee5c95b470c85c2d","0xaa6612f03443517ced2bdcf27958c22353ceeab9","","0","0","0","0.1839712","558.41698192","3416.49","","","Get Bamboozled",""
"0x6143e6dbbf3881eb3ea93208c88f0e9fba85eccf42888ff615a9cf8523b581ae","13389052","1633843518","2021-10-10 05:25:18","0x743fc8ba2a5e435b376bd2a7ee5c95b470c85c2d","0xaa6612f03443517ced2bdcf27958c22353ceeab9","","0","0","0","0.00324331","9.8445810085","3416.49","","","Set Approval For All",""
"0x4a2d0e2c182e6aa6fcb4f9e30ad14c081eb60f8aaabdf15c4f8d6823fc3a7b4c","13389062","1633843616","2021-10-10 05:26:56","0x743fc8ba2a5e435b376bd2a7ee5c95b470c85c2d","0xd6a2a6d2f88e29938bb6c8d7146cc7a4306647c1","","0","0","0","0.030403767983982083","92.28607715018","3416.49","","","Stake By Ids",""
"0xeab88a5f894a79bdd6f65855e78143429943de57e2c66d62c3a94e02f739ca7c","13389395","1633848401","2021-10-10 06:46:41","0x743fc8ba2a5e435b376bd2a7ee5c95b470c85c2d","0xd6a2a6d2f88e29938bb6c8d7146cc7a4306647c1","","0","0","0","0.007725784","23.4504584644","3416.49","","","Claim All",""
"0x8944cf7775027bc9d2bb5e25a7ba30e839f8d379d019caf5f468a35afd5192a3","13389402","1633848530","2021-10-10 06:48:50","0x743fc8ba2a5e435b376bd2a7ee5c95b470c85c2d","0xd6a2a6d2f88e29938bb6c8d7146cc7a4306647c1","","0","0","0","0.00280098","8.501954643","3416.49","","","Transfer",""
"0xf3d3682846fcf25dc6de8ad40d716dfe9f3934ffc1b99f594a41ed1c70bc737a","13389694","1633852329","2021-10-10 07:52:09","0x743fc8ba2a5e435b376bd2a7ee5c95b470c85c2d","0xd6a2a6d2f88e29938bb6c8d7146cc7a4306647c1","","0","0","0","0.00424158","12.874679853","3416.49","","","Claim All",""
"0x4f5bad27c075431d0e8c2b1f6e84790780d66b207e8c920f00d1299e39099306","13389701","1633852483","2021-10-10 07:54:43","0x743fc8ba2a5e435b376bd2a7ee5c95b470c85c2d","0xd6a2a6d2f88e29938bb6c8d7146cc7a4306647c1","","0","0","0","0.0022477","6.822556195","3416.49","","","Transfer",""
"0xa494b2c1ccc48ab75e5a4dd9e70a40ab34ff5e283aa5121f5a1638a953eeb424","13389902","1633855145","2021-10-10 08:39:05","0x743fc8ba2a5e435b376bd2a7ee5c95b470c85c2d","0xd6a2a6d2f88e29938bb6c8d7146cc7a4306647c1","","0","0","0","0.00424158","12.874679853","3416.49","","","Claim All",""
"0x5382ea86330eb28df3c12abab727eb7302a6c54001b95c02c9d5f315923b1cc0","13389903","1633855181","2021-10-10 08:39:41","0x743fc8ba2a5e435b376bd2a7ee5c95b470c85c2d","0xd6a2a6d2f88e29938bb6c8d7146cc7a4306647c1","","0","0","0","0.01485714","45.096619899","3416.49","","","Unstake By Ids",""
"0x196b866c946c3f419b952be2d6a305e2556a00de9d36e150b0366bf583a1d3f5","13389914","1633855304","2021-10-10 08:41:44","0x743fc8ba2a5e435b376bd2a7ee5c95b470c85c2d","0xaa6612f03443517ced2bdcf27958c22353ceeab9","","0","0","0","0.00277998","8.438212293","3416.49","","","Set Approval For All",""
"0xcd34f753a522c0f91dc89c5fd76556e37ea05f726ba93acff72ee9d6fc9f5384","13389958","1633855886","2021-10-10 08:51:26","0x743fc8ba2a5e435b376bd2a7ee5c95b470c85c2d","0xd6a2a6d2f88e29938bb6c8d7146cc7a4306647c1","","0","0","0","0.0020748","6.29774418","3416.49","","","Transfer",""
"0x4fe2a5169e33826292f645ca42238a2544d1ceffeea6f74e3f5d8db4d6af2227","13392281","1633887162","2021-10-10 17:32:42","0x743fc8ba2a5e435b376bd2a7ee5c95b470c85c2d","0xd6a2a6d2f88e29938bb6c8d7146cc7a4306647c1","","0","0","0","0.021918506129177502","66.5303375791989","3416.49","","","Stake By Ids",""
"0xba87403547a5316e45b3aa22ce817cbd705457ef244bf6129b227509222e5db3","13392663","1633892426","2021-10-10 19:00:26","0x743fc8ba2a5e435b376bd2a7ee5c95b470c85c2d","0x444f7787c4ce2349e544d6c70c8d19c0d9edd641","","0","0.2","607.07","0.0330785","100.404824975","3416.49","","","0x35650600",""
"0x853656ea6a69dd1c4ab869fd09c80b06e56875b940a63a0b5891482428b857fb","13392664","1633892434","2021-10-10 19:00:34","0x743fc8ba2a5e435b376bd2a7ee5c95b470c85c2d","0x444f7787c4ce2349e544d6c70c8d19c0d9edd641","","0","0.2","607.07","0.004446380178300492","13.4963200742044","3416.49","Error(0)","Reverted","0x35650600",""
"0x8c71a5d28eb9e218c245140f698e1449fd12f63009dd0c8ca886b2682c996e1e","13394786","1633920935","2021-10-11 02:55:35","0x743fc8ba2a5e435b376bd2a7ee5c95b470c85c2d","0xaa20f900e24ca7ed897c44d92012158f436ef791","","0","0.08","242.828","0.03170695","96.2416906825","3544.14","","","Mint",""
"0x910d8e5701f17940fcabe0bc3e24cf591b2a881fa40cede9bb96d479547b719a","13395191","1633926603","2021-10-11 04:30:03","0x65a6761a685c146be3347361ce2629d058fad21b","0x743fc8ba2a5e435b376bd2a7ee5c95b470c85c2d","","0.75132375","0","2280.5305445625","0.001912454058186","5.80496742551487","3544.14","","","Transfer",""
"0xca5a6d40c04644d32b7948da918b5cf41aac9a9f941a19a212b1630be4346818","13401091","1634006240","2021-10-12 02:37:20","0x743fc8ba2a5e435b376bd2a7ee5c95b470c85c2d","0xd6a2a6d2f88e29938bb6c8d7146cc7a4306647c1","","0","0","0","0.004970837500597395","15.0882316074383","3490.61","","","Claim All",""
"0x27d0ad9b9a69b266b5522b74dd1263a7e5d7e92b43cc57100ff4496cd53d4323","13401137","1634006927","2021-10-12 02:48:47","0x743fc8ba2a5e435b376bd2a7ee5c95b470c85c2d","0xd6a2a6d2f88e29938bb6c8d7146cc7a4306647c1","","0","0","0","0.0046402","14.08463107","3490.61","","","Approve",""
"0xc58c52f2e336c4e2fdf14f72557ad218aad6ab523277462168463a7c6f09fe65","13401140","1634006966","2021-10-12 02:49:26","0x743fc8ba2a5e435b376bd2a7ee5c95b470c85c2d","0xaa6612f03443517ced2bdcf27958c22353ceeab9","","0","0","0","0.0292206","88.69474821","3490.61","","","Get Bamboozled",""
"0x67dd4c9acad3cd24a0673a96a23c1086bcb7b7d1ed4db27b719149d1f046907d","13402387","1634024662","2021-10-12 07:44:22","0x743fc8ba2a5e435b376bd2a7ee5c95b470c85c2d","0xd6a2a6d2f88e29938bb6c8d7146cc7a4306647c1","","0","0","0","0.012830857392300066","38.946142985718","3490.61","","","Unstake By Ids",""
"0x4c958f35d550389d871e20b43e06fd59349d9bc481506a661c1c4b2ba660ff77","13407636","1634095327","2021-10-13 03:22:07","0x743fc8ba2a5e435b376bd2a7ee5c95b470c85c2d","0xd6a2a6d2f88e29938bb6c8d7146cc7a4306647c1","","0","0","0","0.0383621","116.442400235","3607.55","","","Stake By Ids",""
"0xc5e04517d2a9fdf527a30c4fefe39af48c36c8b93e3b8a8f6d6a7ad78a773d47","13424400","1634324697","2021-10-15 19:04:57","0x743fc8ba2a5e435b376bd2a7ee5c95b470c85c2d","0xf7143ba42d40eaeb49b88dac0067e54af042e963","","0","0.07","212.4745","0.145868","442.7604338","3868.16","","","Public Buy",""
"0x7b40b354455d682a402f78d015fbcbaa8effe80066a0947d4c6e53a845d5c529","13424483","1634325908","2021-10-15 19:25:08","0x743fc8ba2a5e435b376bd2a7ee5c95b470c85c2d","0xf7143ba42d40eaeb49b88dac0067e54af042e963","","0","0","0","0.0092556","28.09398546","3868.16","","","Set Approval For All",""
"0xb490b8048ec5e4c38ae9776c3348ba4d6ef338984ff7f26fd061df320a47c492","13425344","1634337339","2021-10-15 22:35:39","0x743fc8ba2a5e435b376bd2a7ee5c95b470c85c2d","0x743fc8ba2a5e435b376bd2a7ee5c95b470c85c2d","","0","0","0","0.05775","175.2914625","3868.16","","","Transfer",""
"0x2e0d35528036ba72968198838b9148187a7e24c60f663fcea547916a9ec9a499","13452219","1634700520","2021-10-20 03:28:40","0x743fc8ba2a5e435b376bd2a7ee5c95b470c85c2d","0x7b426a60ce72643fdf11556ee1d0da3c0a041ed8","","0","0.2514","763.08699","0.01011934","30.715738669","4162.49","","","Claim",""
"0xa546845e07047bdf7f8174d6b96b23be05829a738d1e19c3fe8780c1bc1bb8ca","13452230","1634700684","2021-10-20 03:31:24","0x743fc8ba2a5e435b376bd2a7ee5c95b470c85c2d","0x7b426a60ce72643fdf11556ee1d0da3c0a041ed8","","0","0","0","0.003027030884090631","9.1880981940245","4162.49","","","Set Approval For All",""
"0x1535a45d4475e83d33a745e9e8fd323640b4a8cb684284259280fa5c8bf526f3","13452680","1634706605","2021-10-20 05:10:05","0x743fc8ba2a5e435b376bd2a7ee5c95b470c85c2d","0xf850380c7e9a11e5a1ee65a4c24947de2286524f","","0","0.1","303.535","0.00168","5.099388","4162.49","","","Transfer",""
"0xc6f100255ad40c3f3f3a29ec57128a66a9eb21ac134e7d9a3982f8cf3ed4c72f","13452682","1634706628","2021-10-20 05:10:28","0x743fc8ba2a5e435b376bd2a7ee5c95b470c85c2d","0xf850380c7e9a11e5a1ee65a4c24947de2286524f","","0","0.1","303.535","0.00168","5.099388","4162.49","","","Transfer",""
